PREG_SL,PREG_SLSN,PREG_SLD
3,2,"For some indications, maternal treatment benefit may"
C,6,well-controlled studies in humans.
D,1,Known or theoretical risk.
3,1,Known or theoretical risk.
B,2,Animal studies have failed to demonstrate a risk to the
C,2,Animal studies have shown adverse effect on fetus but no
C,3,well-controlled studies in humans: potential benefits may
X,3,and/or there is positive evidence of fetal risk based on
4,3,outweigh the unclear fetal/neonatal risk. Animal data
D,2,Positive evidence of human fetal risk based on investigation
